review_id,review_text,gold_seat,gold_crew,gold_food,gold_ground_baggage,gold_delays,gold_value
19588,"We had an exceptional flight with Thomas Cook Airlines from Orlando to Manchester. My girlfriend and I flew premium economy, which was well worth the money for the extra legroom. The plane was very modern which great entertainment options built into the seat in front of you. Flight crew was very pleasant and the food was even better. Drinks were all complimentary and they had an excellent selection of premium beverages. I was very surprised by what a great flight we had and will definitely recommend Thomas Cook to our family and friends.",p,p,p,x,x,p
16863,"Horrible experience for both legs of a round trip from Boston to Lisbon via Ponta Delgado with SATA Air Azores. A two hour layover became five hours, without any communication or information shared be the airline to its passengers. Warning - the cheap comes out expensive. Don't fly this airline.",x,x,x,x,n,n
8882,This was my return trip back to the US after 3 weeks in Indonesia and Malaysia. The seat was very comfortable though I did not make use of the sleeping position as it was a day flight and I was not tired. The meal service was impeccable with various options for selection. I selected the filet mignon and it was superb. The service was exceptional and the flight attendant addressed me by name. She was very pleasant and friendly though sometimes I had a little hard time understanding her English. We managed and everything went well. Certainly this would be an awesome seat to fly the 15-hour trip. I was very impressed and more so very grateful for the upgrade. That was such a pleasant surprise. I will soon be returning to Indonesia in a few months and there is no other way to fly there for me but EVA Air.,p,p,p,x,x,p
14197,"Tenerife South to Birmingham, and had not flown with Monarch Airlines for some time, and I was quite impressed with the flight and the service. The flight was slightly delayed departing (technical problems), but expectations managed well by good communication on revised times and explanation from captain. Online check-in a few days before the flight and had baggage only, so we went straight to departures. TFS airport is a bit of a rip-off for refreshments (and certainly don't think of purchasing anything in the airport tax-free shops as they are far too expensive). We had paid for extra legroom seats at the front of the cabin, and there were just the two of us in our half of the row, so we were able to spread ourselves out with a free seat between us - rather like the old British Airways Club Europe. Well worth paying the extra for these seats and very pleased that Monarch continue to offer them. Nice friendly cabin crew, professional and welcoming. Good selection of refreshments, at usual airline prices. Comfortable, slimline seats. Good price paid for trip too. Will fly again.",p,p,p,n,p,p
2864,"I want to write a review about the agent David Ngoie from AIr Transat he helped me a lot since I had to change the name on the flight i booked to match my daughter's passport, I tried with the third party I booked with Flight Hub and they wanted to charge me a big amount to do that even though this was only the next day to my booking, I called Air transat and the first agent i spoke with didn't even want to check and told me flight hub has to do it. I called again and David answered and took the time to review my reservation and was able to do the change and sent me confirmation with no fee or any complications. Thank you so much David",x,n,x,x,x,x
14761,I have just returned from Zante and I found that both flights were what I'd expect from any other company. Seats were comfortable however there was not much leg room. Flights were on time both inbound and outbound although there was a flight to Manchester with Olympic at the same time as ours to Gatwick which was delayed overnight.,n,x,x,x,x,x
17857,"SmartWings operate some CSA routes. The aircraft look a little tatty but clean enough. The flight crew talk to you and explained the delay. Baggage check in included. The trolley service needs to be paid for although the prices were reasonable compared to the low cost operators. 2 euros/50 crowns for half litre bottle of water for instance. Little monitors drop down from the ceiling with route progress but no entertainment. A pleasent alternative to the likes of Wizz Air, Ryanair or easyJet. Similar prices. Gatwick means not having to put up with the trauma of Stansted or Luton. Prague airport is quiet enough, albeit an odd security set up.",x,p,n,p,p,p
21217,"The worst of services. Let's start by saying that the airline does not send email to check in. By not doing it before, at the airport they charge you extra for doing it. As a consequence, they do not assign you seats and make you wait for the whole plane to board to see if there are any available, and if there is not, they send you on another flight. The customer service was terrible, of all the employees who have only one of them gave us a good service. They do not know how to explain how their policy works and/or express themselves correctly. First and last time flying with this airline  El peor de los servicios. Empecemos por decir que la aerolínea no envía email para hacer check in. Al no hacerse antes, en el aeropuerto te cobran adicional por hacerlo. Como consecuencia, no te asignan asientos y te hacen esperar que todo el avión aborde para ver si hay disponibles, y si no lo hay te mandan en otro vuelo. El servicio al cliente fue pésimo, de todos los empleados que tienen solo una de ellas nos prestó un buen servicio. No saben explicar cómo funciona su política y/o expresarse de forma correcta. Primera y última vez volando por esta aerolínea.",n,n,x,n,x,n
707,First time I travel in Air Arabia. In food time I was sleeping. Cabin crew called my name and confirmed my name. I prepared the table for food. I already paid it while booking. But she didn't give the food to me. She gave my co passenger with same procedure. I was so embarrassed as I had prepared table for food. I don't think that it happened by mistake. She purposely done. Please do the needful. It shouldn't happened to anyone further.,x,n,n,x,x,x
20868,"LHR to HCMC in Premium Economy. Seat configuration was 2-3-2 on the B787 and as we were travelling in a group of 3 so had chosen the middle three seats. Legroom was good for Premium Economy and better than we had experienced in either BA or EVA. Although the plane was only around 5 years old, the interior seemed slightly tired and some of the seat recline functions were very stiff, however the seat was very comfortable. The flight left on time and drinks service followed by lunch was soon served. Food was ok, I chose the braised codfish with noodles, which was tasty. Inflight entertainment worked well and with reasonable selection. Flight landed on time and luggage delivered quickly. We paid £500 extra over economy for LHR to HCMC return, which we thought good value.",p,p,p,p,p,p
8059,"Business class is total fraud! Twice the price. Total waste of money! 1) No priority check in in Lanzarote. Despite 3 million tourists a year coming through the airport in Lanzarote, they don't have online check in. But 50m queues, 2 hours before check in like it was some developing country in 1984. When check in opens, they briefly check in business class, then allow economy passengers to move to the business queue, which is then always blocked. No staff checks if you have business ticket or not. So unless you are 2 hours before check-in, there is no priority check in. This time there was an Edelweiss person, but he didn't do much good, compared to the other times where it was just 'I don't give a damn' Swissport personal. Waste of money. 2) There is no priority security. 3) There is no priority boarding. A lady shouted faintly ""business' once, waited for 20 seconds, then started boarding all other passengers. Didn't matter since we all ended up in the same overheated bus anyway! So actually, if you go early during this 20 seconds window of priority boarding, you end up waiting longer than economy. 4) The food is just some microwaved slime. 5) The seats are exactly the same as economy class on this flight. Yes there was a seat free in between, but how is that more comfortable if the seat itself is small and short leg room. 6) The carpet was dirty, the seats old and ripped. Never again will I book business class with Edelweiss. A total rip off.",n,n,n,n,x,n
6225,18th June 2013 BW902 POS-LGW. 1st July 2013 BW903 LGW-POS. Check in at POS was fast. Flight was scheduled to depart 7.40pm but boarding began at 7.30pm. Departed 45 minutes late. Once airborne food was nice and multiple drink runs. Personal screens for InFlight Entertainment were not working. Nice 767 with comfy seats. However the return was a nightmare. Scheduled to depart London at 12.50pm on 30th June BW 903. Got to the airport on the 30th June at 10am to be told by another passenger that the flight was cancelled. A long line with frustrated passengers for 2 hours as no information from Caribbean Airlines. After 3 hours I was told that it was due to the A/C not working and they will be putting us up in a hotel overnight and was booked for a 4.50am departure the next day (1st July). At the hotel told that the flight was delayed until 9.50am and to head back to the check in counter at 7am. Finally got to the gate and we boarded on time. Did not leave on time left 3 hours later. Flight attendants were less than helpful and sour. Flight was wonderful with fair IFE and a hot meal and 3 drink runs. Afternoon tea as well. Arrived after 5pm on 1st July.,p,n,p,p,n,x
3388,airBaltic provides at Checkin and Boarding hand  sanitizer and pleasant experience. On board each passenger gets an envelope with two facemasks and two disinfection tissues. Cabin was clean. Bathroom one of be largest I have seen with soap and hand sanitizer. Full service which you have to pay for.,x,x,x,p,x,x
6863,"I have booked a return flight from Melbourne - Bali Denpasar and back. I booked these flights at the end of February. Unfortunately Citilink cancelled my flights and I have been emailing and calling them since the 3rd of March about my Refund. For three weeks they didn't got back to me were I had to ask a family member in Indonesia to help me with the progress. They finally emailed me back, telling me I had to fill in these forms within 7 days, which I did. And again they didn't got back to me for two weeks. When they finally did, they told me my credit card details on the forms and of the purchase weren't the same. How can this be possible if I send a copy of my bank details were you can see I bought the tickets with my credit card. I am super disappointment with the customer service. It has been eight weeks, and I still haven't got my refund let a long and further progress. Please Citilink help me out!",x,x,x,x,n,n
2678,Our flight was booked to fly in December 21st but Seychelles was closed to visitors from South Africa due to COVID. We never flew. Since then I have been asking for either a refund or travel voucher as we are expecting to re-book for December 22. But after several emails and requests Air Seychelles do not respond. What is one supposed to do to get what we paid for?,x,x,x,x,x,p
16255,"I had a flight 29th September from Casablanca to Gran Canaria. I chose this airline because it is only one direct flight from Maroc to Canarian islands. Royal air Maroc left my luggage in Casablanca (the same situation for more than 5 people from this flight). I could not connect to this company to check the delivery status of my luggage because the contact center is always busy as well as connection by an email. Moreover Iberia try to connect with Royal Maroc through internal system and ask about the lost luggage, so no feedback was received. Overall my holiday on Gran Canaria is damaged by this situation because all my things and essential are in luggage. I do not recommend to fly by Royal Air Maroc. The customer service is awful.",x,n,x,n,x,x
7134,"We booked a pair of business class seats for my wife and myself roughly nine months prior, and checked in online several hours before the flight. Once at the airport (FRA) we proceeded to the check in counter where they took our luggage. After it disappeared down the belt, we were told to talk to another agent. Due to a sudden aircraft change the flight had no business class seating, and consisted of economy only. However, we would be given a row (3 pax) each. This is regrettable but normal. However, on asking to cancel our tickets, we were told we would not receive any refund and would not be rebooked - they also have our luggage at this point. Not wanting to miss our next connection, we decided to move forward and board the aircraft. We immediately noticed the 12 business class seats that did indeed exist. Even further, no seats were blocked (the 3 pax did not exist). This was standard economy seating. We asked a flight attendant what was going on. We were obviously shocked. Surrounded by an entire cabin of passengers being lied to about the seating, it turn bad quickly. The gate pulled away and we were trapped on the aircraft. For the next two hours we sat, unable to exit with no explanation. The cabin began heckling the crew as they continued to lie about the departure time without rationale. Finally we saw the issue, they were waiting for cargo to arrive and load. Clearly the passengers were the second priority. Once in the air a woman started projectile vomiting. Instead of helping the poor girl, the flight attendants ran around screaming. After about 15 minutes I was about to get up and help this poor girl to the bathroom when one of the other flight attendants finally intervened and did so. We finally talked to yet another flight attendant about this whole situation. She said ""what can I do about it?"" and that asking her to do so was cruel. Upon landing, to no surprise at this point, we sat another hour on the tarmac.  An elderly gentleman sitting behind us asked repeatedly asked for wheelchair because he could barely walk. He was ensured over and over he would have one. As we climbed down the stairway, I helped carry his bag and across the tarmac to the busses. No chair in sight. Everyone still in shock. And left stranded, having missed our connection by hours.",n,x,x,n,n,n
16460,"Today is 22 Sep 19 and I have been attempting to trace my lost luggage from RJ264 Chicago to Amman dated 8 Aug 19. My ticket was purchased through American Airlines as a OneWorld codeshare. American confirmed scanning the bag delivered to RJ264 before departure. After waiting at AMM baggage claim for the 1st 45 minutes after arrival, a baggage clerk confirmed that it was back there but still processing through security. At 1½ hour after arrival, the same baggage clerk said that now he could no longer find it back there anywhere. How could my bag have “disappeared” while processing through security and never be delivered to the baggage carousel? After filing my lost luggage claim at the AMM airport (along with several other 1st class pax), I have had had no response and no contact from Royal Jordanian airlines. I have attempted to call every phone number I can find listed for customer service and they are all just looped recordings that keep transferring to another message. In the last 6 weeks I have sent more than 12 emails through your WorldTracer system that they have failed to respond to. I have sent 7 emails now to your Royal Jordanian Head Office that have not been answered. Are they just assuming that if they ignore me long enough I will go away?",x,x,x,n,x,x
10227,They cancelled the flight for no reason when all the other flights from other airlines were functional. They just get your money pay themselves and say they had to cancel it when there was no lockdown. In fact this is second time.,x,x,x,x,n,x
10897,"I flew Business Class to Las Palmas from Cardiff. Flights excellent and on-time, I couldn't fault their performance. What overshadowed the whole trip was the way in which I was treated in Madrid Airport by a gate clerk. I entered the wrong line for priority boarding and eventually was able to join the correct line. For some reason this angered the woman at the gate who decided to explode with anger at me for no reason about why I was in the wrong queue etc. I was so shocked by her behaviour. When I told her off for speaking to me in such an aggressive way and I took back my passport with a curt ""thank you"" she ran down the jetty (leaving her desk and other passengers) to verbally abuse me more.  I have never experienced anything quite like it in 15 years of flying Iberia. I put in a complaint about her behviour but heard nothing back.  Totally appalling experience and never again.",x,n,x,x,p,x
753,I travelled from Sharjah to Colombo on Air Arabia in June. The flight was full but I was comfortable. The flight was about four hours long. I checked in online but my phone failed so got replacement boarding pass at baggage drop. I enjoyed the flight and will fly them again.,p,x,x,n,x,x
8586,"The flights departed and arrived on time, the connecting flights were good and the staff were helpful and friendly but everything else was pretty bad. We had a very old Boeing 777 plane for a 14 hour flight and many people had broken entertainment systems. The food was barely edible, disgusting in fact. Won’t be paying $3,600 again for such bad service. Prefer Emirates, Singapore Airlines or Qantas.",x,p,n,x,p,n
14480,"Bangkok to Roi Et return and chose Nok Air. Much more pleasant experience than last time with Thai AirAsia. Check in early, flight good, small snack provided, leg room acceptable. Would recommend them over Thai AirAsia.",p,x,p,p,n,p
15390,I have just come back from Bangkok via Sharjah taking off April 13th - 5am Thailand time and landing 2.15pm UK time. We were supposed to take off at midnight on April 11th got to check in desk where they were checking people in and then suddenly they stopped and we were informed the flight was delayed 24 hours till the same time the next day. We were put up in the airport hotel (no complaints about that the manager was brilliant) and given vouchers for food but not for drinks not even for water. There was no Phuket Air rep around at all and rumours were spreading that they were about to go bankrupt. We had no info the next day and still no rep but were told by the hotel manager although it was not his responsibility he would try to find out what was happening and post it up on a notice board. We were told we would be updated at 1.30pm. By 5pm there was still no news some people had been stranded for 4 days at the hotel. We were told the flight could possibly go that night or maybe not for days as the airline could go bankrupt. We were eventually told the flight would be going at 3am and to check out at 8.30pm (71/2 hour check in which meant hours waiting at the airport unecessarily!). However the flight didnt leave until 5am eventually. During this time there was no airline rep present at at the airport at all to keep us informed so rumour was rife. When we landed at Sharjah we were not allowed off the plane while refuelling (is this normal practice) and delayed yet another hour for more maintenance. I would never ever fly with them again after this especially hearing about their appalling safety record and other peoples experience.,x,x,n,p,n,n
8843,"Be wary of purchasing tickets for EVA air flights. The lower fare belies the issue with the layover transit ban in Taipei. Although a small screen on a page will alert you to this ban, it states that the ban will be in effect for only a month (until Aug 31, 2021 as of this writing). Some people are willing to risk having their flight canceled. However Taipei has a history of extending this ban every 30 days since May 2021.  If we had known that Taipei had a record of protracting their transit ban, we would not have purchased this ticket. Ultimately, we canceled our booking, paid the $120.00 surcharge and booked a direct flight with another airline out of LAX just for peace of mind.",x,x,x,x,x,n
11020,"My wife and I was supposed to fly in September 2020 for my 70th birthday to Ireland and Scotland. We all know what occurred starting in March 2020. Covid-19. Due to health and safety issues I continually checked to see if Icelandair was going to cancel our flights. It seemed to me that Icelandair was playing chicken with our flights so that instead of letting me know that they were cancelling the flights and that I could get a refund, they kept me in the dark as to the status of our flights thereby forcing me to cancel my flight and take a travel voucher instead or potentially losing $1600.00+ dollars. I am also aware that I was not the only traveler to experience this problem. So I got a travel voucher only to find out later, when speaking to an Icelandair representative that my flights had been cancelled. So to put it succinctly, Icelandair was very disingenuous with me. I should have received information that Icelandair had cancelled my flights and I should have received a refund. Now they refuse to give me a refund because I got a travel voucher. Another way to look at this is that, at the expense of the traveler, Icelandair keeps your money to keep them afloat. Simply horrible.",x,x,x,x,n,n
13555,"Both outbound and inbound flights were delayed by close to two hours, and this happened every single time when I took this airline to destinations in East and Southeast Europe. The positions we received in Frankfurt and Munich were always outside positions which made it nearly impossible to catch the connecting flight and, attitude of LH staff on the plane and on the ground in the airport is arrogant and unfriendly.",n,n,x,p,n,x
1106,"An expected 10AM departure on AC was cancelled at 8AM. I spoke with AC Call Center at 8:40 (?Philippines) and was told that 'this is either AC or United Airline but we cannot be certain'. I asked to be placed (40 minute call so far) on next available flight and she indicated that she would try to re-route me from Boston to Newark to Montreal. She then disconnected the line. I called back and another indicated that I was now no-Show for Bost-Nwk-Montreal and all my tickets had been cancelled. She indicated that I could now only purchase a first class ticket at 16:40 for Bos-Yul at C$1600 as no economy seats were available, For a meeting that was time sensitive, I had no choice. I await a refund but discussions with Bos Help Center and YUL Help Center leaves me pessimistic of any resolution.",x,n,x,x,n,n
2966,"I purchased a Premium Economy seat and paid for a lie flat bed. Despite attempting to confirm my seats many times prior to departure, when checking in I was told that there are no lie flat beds on this flight. In fact the aircraft is only economy seating. I tried numerous times over a period of one week to contact their staff for a refund. Their chat bot is totally useless so I left messages, tried calling their overseas offices and always received just a voice message to leave a short message with email or phone number. Nothing! It's obvious that they cannot afford proper customer support service or are simply not interested and don't care. I have just checked online again for the same flights in September and they offer economy seats at $327 USD or premium economy at $853 USD. This airline has only one objective, take your money and if you have a problem don't contact us.",n,n,x,x,x,n
2435,"Auckland to Houston. I was excited recently to fly on the much lauded Dreamliner! The food was tasty and enjoyable, the ease of connection to Des Moines, USA was fabulous. But I was so cramped in my seat, it made the journey only just bearable. I’m a good flyer, always enjoy it; it was so disappointing to find the airline has penny pinched on seat comfort for the bulk of their passengers, the economy class folk. I’m a slim 67 kg; I don’t know how larger people could manage it. It puts me off ever travelling there again.",n,x,p,x,x,x
6098,"Baku to Tbilisi. I had a terrible experience with Buta Airways. Firstly flight was delayed 3 hours for no reason. Then at check-in, I was fined for not checking in online, however there is no mention on the ticket or confirmation email anywhere that you need to do online check-in. I asked for a window seat and was given an Aisle, when I asked to move onboard (as the flight wasn't full), I was told it would cost €25! They also don't allow any hand luggage, apart from a handbag or laptop bag. Not even a plastic bag! Now my return flight is also delayed. All in all, a very poor experience.",n,x,x,n,n,n
18388,"Sorong to Makassar. This company is an absolute joke and I will never fly with them again. They keep modifying the schedule without letting the travellers know. Ridiculously overpriced for a domestic flight in Indonesia. Same your time, money and sanity and fly with another company!",x,x,x,x,n,n
16561,They charge you €55 per person just to check you in. No airline has charged me for checking in. If you don’t pay this you are not able to board your flight! Beware of these scams.,x,x,x,n,x,n
17861,"I booked travel from Prague to Paris. The flight was ""on time"" when I checked in but then quickly became 2 hours late and actually left 2.5 hours late. No Smartwings personnel at the gate until about 30 minutes prior to departure and there were limited announcements. If you have been travelling internationally the Smartwings baggage allowances are less 15 kilos rather than 20 and a 30 Euro fee awaits those with baggage over the 15 kilo limit. At least the fare was inexpensive.",x,n,x,p,n,p
22167,"If you are tempted to fly with this airline because of the wonderful price do not do it. The flight out to Paris was wonderful. The plane was empty so everyone had their own row to relax. The troubles didn't start until we arrived in Paris. On our flight to Paris they lost our babies car seat. When we went to check in today the lady at the counter was rude and unfriendly. We handed her 5 passports. Three for adults and two children. We had 4 bags to check in a stroller and we had our 2 year olds car seat. We have a double stroller. I was holding our ten month old and our two year old was sleeping in the stroller. In San Francisco they put stickers on all three pieces because the stroller breaks down into three pieces. When we told her that the stroller did that she rolled her eyes and said really. Then we tried to check in our two year olds car seat she said nope you can't take it, or you have to pay for it. When I explained they hadn't charged us for it in San Francisco she said well that is San Francisco. She then called the airline and they said we had to pay 50€ for the seat. She told us we had to go to a separate counter to pay then come back to her. As we were leaving she said wait let me put the stickers on the stroller. As she was putting the sticker on one of the pieces she noticed our daughter and said oh you have another child, we said yes, you have her passport to which she then said oh you don't have to pay anymore. Instead of apologizing she just said your finished. We upgraded to seats 4 thinking they would be wonderful seats because of our previous flight. But the seats had less space than before! They were so uncomfortable! Especially having a twenty pound baby on your lap. There was a section in front of us nobody knew was available. When I finally got the attention again of a stewardess the doors were being closed and she said that I needed to go to the gate to pay. What kind of airline charges for everything other than water, coffee and tea but wont let you buy up a seat? There were 8 seats open! Those seats remained open all flight. Our ten month old was walking back and forth in front of our seats holding onto the seats. We didn't notice but there was an ashtray in our daughters seat. In it was trash with liquid and food. It stuck and was disgusting. Our son put his hand in it. When I asked the stewardess to do something about it, she said you think it's my problem? I said to her I am not saying you own the airplane but you are the only one who's really able to do anything because you have the access to things to clean it. She rolled her eyes at me. 6 minutes later another stewardess came with gloves and took out the trash and in the process got liquid on us and said there I got everything. She went and got a napkin dabbed and said there I am done and walked away. 6th thing, for a couple hours service was non existent. We were trying to make a bottle for our ten month old so he could sleep and we pushed the service button but nobody came for 30 minutes. I am horrified by the service.",n,n,x,n,x,n
4894,"Istanbul to Baku. I decided to fly Azerbaijan Airlines instead of another airline and I was very pleasantly surprised how good this airline was. I had 10kg cabin luggage allowance which was really plenty! The plane was new and clean. I also did not expect the free meal service, but it was excellent - hot meal with alcoholic drinks. Food was really fantastic. I would not hesitate to fly this airline again.",x,x,p,p,x,x
7845,Flew from Qingdao to Hong Kong and return last weekend. Flight to HKG boarded quickly as all flights do in China had about a 1.5 hr delay on the ground prior to take off. Flight was on a newish Airbus A33O with PTV. Frequent updates from Northern Irish captain. Small but tasty meal served with wine (if requested) and generous refills given. Flight made up some time en route so we were not inconvenienced too much. Return leg was a little chaotic with 3 gate changes at HKG in 1 hour however despite everybody's best efforts flight took off on time. Flight was on older A330 with no PTV however with my kindle and IPod no problems to keep myself amused on a 3 hour flight. A nice dim sum lunch served again with wine if requested frequent updates from an Australian captain. Flight landed on time. I have flown Dragonair a lot and cannot fault them on regional flights to and from Hong Kong.,x,p,p,x,n,x
6934,"An absolute nightmare of a journey from Cork to London City involving a 4.5 hour delay. A plane was sent from Dublin and arrived 3.5 hours after the problem first arose. I had booked seats with my children but was reallocated a new seat which took no account of the original booking. Clearly, having decided to pull out of this route the company aren't concerned about passenger inconvenience. Staff were far too glib. I will never travel with them again - a total fiasco.",n,n,x,x,n,x
2995,"This is such a convenient flight from Chiang Mai to Hua Hin, as it eliminates the +/- 3.5-hour transfer from Bangkok to Hua Hin or +/- 3-hour transfer to Cha Am. Pity, it's only 2/3 times a week, usually on Wednesdays and Sundays. The aircraft, staff and service are what you would expect from any AirAsia flight. Efficient and cost-effective. No frills to the extreme - but worth every penny.",x,p,x,x,x,p
3011,ZERO OUT OF 100. Worst airline I have ever flown. Nothing on time. Nothing organized. Was selectively pulled out to have bags weighed and charged more. Extra 900 pesos for a carry on that weighed 8kg. Flight was delayed at every stop. Didn't arrive to catch our transport in Puerto Princesa on time. Then again leaving the flight was delayed an hour. Still sitting here as a matter of fact. Philippines Airlines and Cebu Pacific both moving smooth on either side of us.,x,x,x,n,n,n
17349,"Recently I flew Silkair Cairns to Surabaya return via Singapore. On the Cairns to Singapore leg I was seated next to an obese person who intruded as much as 15cm into my seat. I had booked and paid for an exit row because of my height. I am 192cm, 90kg fit and healthy 71yo. I continually asked him to keep to his own seat but it was impossible for him. If he leaned forward his stomach forced his legs into my seat squab. He threatened to punch me. I reported the threat to the attendants and they spoke to him. I was offered a middle standard seat which I had to refuse because of my height. He could have easily been moved to the business section which was occupied by only one staff member passenger. I wrote to them asking for a FOC on only the CNS-SIN sector next time I fly to Eastern Indonesia but they offered a free exit seat CNS-SIN-CNS. Lots of corporate double talk and insincere apologies. If you buy a car and it has no motor you can ask for and get a replacement. I purchased a seat and only got 66% of it and I want a replacement.",n,n,x,x,x,n
1335,"London to Beijing return.  Boarding was smooth and on time. I was welcomed and shown to my window seat. These are the old style (2x2x2), with the window seat having no direct aisle access. The small fixed partition between the seats offered a little privacy, but only when full flat. The seat itself was very comfortable and the adjustments were easy to operate. Following a welcome Champagne drink and hot towel, the menus were handed out. The announcements included a clear warning/advise for passenger behaviour on board. The cabin was half full. While taxing, a crew member came to take my dinner order. Although there was a choice of three main courses, I was told they had only one choice for dinner and breakfast left!  For dinner,  small appetisers were served, followed by a seafood starter, salad and hot breads. The main fish course was OK but a little bland. However, a desert trolley came along and I was able to choose what I liked, and settled for cheese/crackers and ice cream. Plenty to eat, but not that great. The wine served was good, and topped up several times, before coffee and cognac. One of the crew came to apologise for the lack of choice in the food, but it was not a major issue. What impressed me was the smiling and attentive attitude of the crew. I have read negative reviews about Air China complaining about the lack of English spoken. But for me, that is the charm of communicating with others who may not be so perfect in other languages. I really enjoyed my flight, especially the friendly cabin crew. A large pillow and thick blanket was provided for sleeping. The IFE was not fantastic, with a very limited number of English movies. The L'Occitane amenity kit was also basic. On the 10 hour flight, I managed about 4 hours sleep. On my return flight, the sound quality of the announcements was poor, and I could hardly understand a word spoken. Yet it didn't deter me from enjoying a relaxing time. Considering Air China's low pricing in Business Class, I would fly them again. Lovely cabin crew and comfortable seat, overcame the minor shortcomings.",p,p,x,n,p,n
3658,"I’m waiting on back surgery. Standing and walking is terribly painful. Went up twice to say I have to please have a wheelchair. Not only no chair but I had to stand in line leaning on my cane for 15 minutes just to have extra time. When I got up to the front and noted I never got the wheelchair, the gate agent dumbly said, “there’s one over there.” I pointed out it was unstaffed and I couldn’t push it myself. Got onboard, asked for help putting my little case above me. No, they’re not “allowed” to handle baggage. Man, do I miss Virgin. Worst decision to let Alaska take them over. Worst service in the industry.",x,n,x,n,x,x
16635,"Very basic but you get what you pay for, and I've never had any problems with them. Make sure all of your baggage is in order, and double check which airport you are flying into as it might be a secondary one in the city (eg. Berlin). The low price is impossible to beat. The service is minimal, but it's absolutely fine for short flights.",x,n,x,n,x,p
9238,"Never ever fly Flair! Their tickets may be cheap but they are absolutely horrible at customer service! My mom came to visit, and as she is older with medical issues, she booked wheelchair assistance both ways. It took them 2 hours to get her from the plane to the baggage area when she arrived! And she ended walking part of the way because she was tired of waiting for the assistance! She was in the airport longer than she was in the air! Then going back, she checked in online, made it to check her bag in the appropriate time frame, but because again Flair did not take care of her wheelchair assistance properly, she actually missed her flight. Do you think they would even apologize or offer a rebook? Nope! But they sent her luggage on the plane! So after no help from any Flair/Pearson employee, we were able to get her on a later flight that day with Air Canada, who were absolutely amazing. She flew out from Billy Bishop and what a wonderful experience it was for her! Now Flair doesn't know where her luggage is and she has to wait until Thursday to get any help from them. I can't believe they were so rude and harsh to a 75yr old woman! I don't care about the price difference, I will only fly Air Canada out of Billy Bishop Airport! Flair Airlines and Pearson Airport are the most unaccommodating, rude and ignorant group I have ever heard of. All they do is blame the passengers or each other and do not take responsibility for their own actions!",x,n,x,n,n,x
6936,"Cork to London City Airport, I chose Cityjet as they seemed to be the cheapest. The reviews were mixed and I decided to try it anyway. First off, I decided to just take hand luggage, as it was very expensive to choose extra luggage. However, after a week or so I found out that there was luggage included (up to 23kg) - nowhere was I informed of this, which could have led me to pay extra for it. This should be shown when ordering, but it was not. The airplane from Cork to London City was quite small. I think it had about 13-15 rows, and the plane was less than half full on both ways. The aircraft was very noisy, I had to turn up my headset to full volume to be able to listen to the music.  The flight attendants were friendly both ways, however very slow to serve drinks and food - it was already a pretty short flight of 1 hours and 20 minutes. There was however drinks included (also alcoholic drinks) and a snack (a pack of biscuits on the way to London, on the way back a müsli bar). I did not expect any food or drinks, so that is fine. I appreciate the very fast support and response from Cityjet on Twitter, though. The seats were fairly small and not comfortable to sit in at all and there was no Wi-Fi.",n,n,p,p,x,n
14018,"Melaka to Langkawi. It was my first ride with Malindo, I was carrying my 4 years old youngest niece, at the same time I'm also taking care of my mum upon reaching the destination, one of the flight attendants who saw me taking care of both the youngest and the eldest at the same time, immediately he send me the baby stroller that I've already checked into the cabin (before luggage picking up), the little action helped to ease my burden at the point of time. My immediate response, Wow. The excellent and warm hearted service. Thumbs up to the flight attendant's Wow and warmth service, that wins the customer's heart.",x,p,x,x,x,x
17161,"We booked a flight from Kuala Lumpur to Amsterdam via Shanghai with China Eastern Airlines. The part from Kuala Lumpur to Shanghai was operated by Shanghai Airlines. Departure time was 2.10am out of Kuala Lumpur and expected arrival in Shanghai at 7.20am. The inbound flight already arrived 30 minutes late so we boarded the plane at 2.30. The seatpitch at seat 33A and B was okay and after showing the safety instruction video on the screens we expected to depart. To our surprise the cabin attendant announced a delay of 3 hours due to ATC-restrictions by ATC Singapore. The gate was already disconnected and the boarding door was closed so we had to stay in the plane for over 3 hours. A cup of water and a meal were being served at 3am. After that, we had to stay in the plane and we were told to stay in our seats. There was no information from our captain and the flight attendants hid in the galley. Out of the blue the plane was pushed back from the gate at 6.05am. Without information we departed out of Kuala Lumpur. No idea how long the flight was going to take and what the arrival time in PVG would be. During the flight they served one croissant (which origanally would be served during the dinner we received at 3am) and half a cup of Chinese tea. Our bags never made it to our final destination and are still in China. Today, 3 days after the flight with Shanghai Airlines/China Eastern, we still haven't received them back nor did we get any info about our bags. My advice is not to fly with Shanghai Airlines. They don't seem to care about passengers and their bags and leave you without any information.",p,n,p,p,n,x
1670,"I had tried to upgrade from economy to premium economy online, but there was no availability. When I was already seating while the plane was about to leave, the flight attendant came to ask if I still wanted to move to premium economy and pay with my miles. This was a pleasant surprise and I enjoyed the extra space on this long night flight. The premium economy seat was comfortable and the service friendly.",p,p,x,x,x,x
